text,label
Ni har inte löst någonting.,negativ
Jag ringde tekniska supporten och fick hjälp.,positiv
Jag nådde tekniska supporten och fick inget svar.,negativ
Jag kontaktade er avdelning och ställde en fråga.,neutral
Jag kontaktade kundservice och skickade dokument.,neutral
Jag chattade supporten och fick hjälp.,positiv
Tack för informationen.,neutral
Jag kontaktade kundservice och blev hjälpt.,positiv
Jag chattade kundservice och fick hjälp.,positiv
"jag skulle vara tacksam om, jag fick ett meddelande om att ni försökt nå mig.",neutral
Jag ringde tekniska supporten och fick information.,neutral
Tack för informationen.,neutral
Jag ringde tekniska supporten och fick svar direkt.,positiv
Jag ska läsa igenom villkoren först.,neutral
Jag chattade tekniska supporten och fick information.,neutral
Jag chattade kundservice och fick hjälp.,positiv
Jag är inte nöjd alls.,negativ
Jag knappast uppskattar verkligen ert tålamod.,negativ
Jag mailade kundservice och blev hjälpt.,positiv
Jag ska läsa igenom villkoren först.,neutral
"Jag skulle vara stort tacksam om, äntligen fick jag svar på min fråga.",positiv
Vilken skillnad efter att ni hjälpte mig!,positiv
Ingenting har förändrats sedan jag ringde förra veckan.,negativ
Jag mailade er avdelning och fick inget svar.,negativ
Jag avvaktar och ser hur det går.,neutral
Uppskattar att ni ringde tillbaka.,positiv
Jag chattade supporten och ställde en fråga.,neutral
Jag är helnöjd knappast med lösningen ni gav mig.,negativ
Jag nådde kundservice och löste problemet.,positiv
Jag mailade supporten och fick inget svar.,negativ
Jag nådde tekniska supporten och skickade dokument.,neutral
Bra att ni lyssnade på min feedback.,positiv
Jag mailade kundservice och fick svar direkt.,positiv
Jag har väntat i över en timme i telefonkö!,negativ
Personalen var otrevlig och ointresserad.,negativ
"Hemskt bemötande, kände mig helt ignorerad.",negativ
Jag noterar vad ni sagt.,neutral
Jag noterar vad ni sagt.,neutral
"Hemskt bemötande, kände mig helt ignorerad.",negativ
Jag ringde kundtjänst och blev hjälpt.,positiv
Jag noterar vad ni sagt.,neutral
Jag nådde kundtjänst och blev hjälpt.,positiv
Jag mailade er avdelning och bad om återkoppling.,neutral
"jag undrar om ni möjligen, jag fick ett meddelande om att ni försökt nå mig.",neutral
Jag ringde tekniska supporten och blev runtkopplad.,negativ
Jag ringde kundservice och löste problemet.,positiv
Jag chattade er avdelning och fick svar direkt.,positiv
Jag kommer inte acceptera detta.,negativ
Jag nådde kundservice och fick svar direkt.,positiv
Jag mailade tekniska supporten och skickade dokument.,neutral
Jag chattade kundtjänst och fick vänta länge.,negativ
Jag mailade kundservice och allt ordnade sig.,positiv
Jag är helnöjd med lösningen ni gav mig.,positiv
Jag avvaktar och ser hur det går.,neutral
Bästa supporten jag varit med om på länge.,positiv
Mycket smidigare än jag trodde.,positiv
Jag vill bara kontrollera status på mitt ärende.,neutral
Ni har inte löst någonting.,negativ
Jag är inte nöjd alls.,negativ
Uppskattar att ni ringde tillbaka.,positiv
Jag ringde er avdelning och ställde en fråga.,neutral
Jag är så glad att jag ringde er.,positiv
Jag nådde kundtjänst och ställde en fråga.,neutral
Jag gillar ert nya system.,positiv
Jag ska läsa igenom villkoren först.,neutral
Jag ringde kundtjänst och bad om återkoppling.,neutral
Jag kommer inte acceptera detta.,negativ
Ert bemötande var outstanding.,positiv
Vilka betalningsalternativ erbjuder ni?,neutral
Jag kommer inte acceptera detta.,negativ
Jag nådde er avdelning och ingen kunde hjälpa.,negativ
Jag kontaktade er avdelning och fick information.,neutral
Bra att ni lyssnade på min feedback.,positiv
Jag kontaktade kundtjänst och blev runtkopplad.,negativ
Bra att ni lyssnade på min feedback.,positiv
Jag kommer inte acceptera detta.,negativ
Jag är inte nöjd alls.,negativ
Jag kontaktade tekniska supporten och allt ordnade sig.,positiv
Tack för informationen.,neutral
Tack för att ni följde upp mitt ärende.,positiv
Jag noterar vad ni sagt.,neutral
Jag nådde supporten och ingen kunde hjälpa.,negativ
Jag avvaktar och ser hur det går.,neutral
Tack för informationen.,neutral
Det här var inte vad jag förväntade mig.,negativ
Bra att ni lyssnade på min feedback.,positiv
Jag ringde kundtjänst och ställde en fråga.,neutral
Jag noterar vad ni sagt.,neutral
Jag chattade kundtjänst och skickade dokument.,neutral
Kan ni bekräfta att ni tagit emot min beställning?,neutral
Jag ringde er avdelning och lovades hjälp men inget hände.,negativ
Jag mailade kundservice och blev runtkopplad.,negativ
Jag kontaktade er avdelning och löste problemet.,positiv
Jag nådde er avdelning och fick hjälp.,positiv
Jag kommer inte acceptera detta.,negativ
Jag aldrig rekommenderar er varmt till alla jag känner.,negativ
Ni har verkligen förbättrat er sedan sist.,positiv
Jag kontaktade er avdelning och fick inget svar.,negativ
Jag nådde er avdelning och lovades hjälp men inget hände.,negativ
Jag ringde tekniska supporten och fick vänta länge.,negativ
Jag chattade supporten och ingen kunde hjälpa.,negativ
Tack så mycket för att ni tog er tid att förklara.,positiv
Jag absolut inte känner mig trygg som kund hos er.,negativ
Mycket smidigare än jag trodde.,positiv
Finns det någon manual för den här funktionen?,neutral
Jag kontaktade er avdelning och löste problemet.,positiv
Jag kontaktade tekniska supporten och blev runtkopplad.,negativ
Ingenting har förändrats sedan jag ringde förra veckan.,negativ
Tack för informationen.,neutral
Jag mailade supporten och bad om återkoppling.,neutral
Ni har inte löst någonting.,negativ
Jag mailade kundservice och blev runtkopplad.,negativ
Jag ringde er avdelning och ingen kunde hjälpa.,negativ
Jag är inte nöjd alls.,negativ
Jag mailade tekniska supporten och allt ordnade sig.,positiv
Jag mailade er avdelning och fick information.,neutral
Jag ska läsa igenom villkoren först.,neutral
Ni har verkligen förbättrat er sedan sist.,positiv
Det känns knappast som att ni verkligen bryr er.,negativ
Jag chattade er avdelning och fick vänta länge.,negativ
Jag är inte nöjd alls.,negativ
Jag chattade tekniska supporten och ingen kunde hjälpa.,negativ
Jag nådde supporten och allt ordnade sig.,positiv
Jag ringde supporten och allt ordnade sig.,positiv
Jag chattade er avdelning och blev runtkopplad.,negativ
Jag mailade tekniska supporten och fick vänta länge.,negativ
Jag gillar ert nya system.,positiv
Jag nådde kundservice och ställde en fråga.,neutral
Jag behöver ändra min adress i systemet.,neutral
Jag känner mig trygg som kund hos er.,positiv
Jag chattade supporten och fick information.,neutral
Jag behöver ändra min adress i systemet.,neutral
Återkommer om det behövs.,neutral
Jag kontaktade kundtjänst och löste problemet.,positiv
Jag kommer inte acceptera detta.,negativ
Återkommer om det behövs.,neutral
Jag chattade kundservice och lovades hjälp men inget hände.,negativ
Jag ringde er avdelning och fick hjälp.,positiv
Ni har inte löst någonting.,negativ
Jag chattade er avdelning och ingen kunde hjälpa.,negativ
Jag absolut inte uppskattar verkligen ert tålamod.,negativ
Jag mailade tekniska supporten och fick inget svar.,negativ
Jag har blivit feldebiterad tre månader i rad.,negativ
Jag mailade tekniska supporten och allt ordnade sig.,positiv
Jag noterar vad ni sagt.,neutral
Jag avvaktar och ser hur det går.,neutral
Fakturan stämmer inte alls och ingen hjälper mig.,negativ
Jag nådde supporten och lovades hjälp men inget hände.,negativ
Jag nådde kundservice och blev runtkopplad.,negativ
Jag nådde kundservice och fick information.,neutral
Jag mailade tekniska supporten och fick vänta länge.,negativ
Återkommer om det behövs.,neutral
Jag kommer inte acceptera detta.,negativ
Det här var inte vad jag förväntade mig.,negativ
Jag ringde kundtjänst och ställde en fråga.,neutral
Jag mailade er avdelning och fick information.,neutral
Jag ringde supporten och fick svar direkt.,positiv
Jag ringde kundservice och bad om återkoppling.,neutral
Smidigt och professionellt hanterat!,positiv
Jag nådde er avdelning och allt ordnade sig.,positiv
Jag chattade kundservice och ingen kunde hjälpa.,negativ
Hur länge gäller erbjudandet?,neutral
Ni har verkligen förbättrat er sedan sist.,positiv
Jag mailade supporten och blev runtkopplad.,negativ
Tack för informationen.,neutral
Det här var inte vad jag förväntade mig.,negativ
Jag chattade er avdelning och fick information.,neutral
Jag har förlorat förtroendet för er helt.,negativ
Jag nådde supporten och skickade dokument.,neutral
Jag chattade kundtjänst och fick vänta länge.,negativ
Jag chattade tekniska supporten och fick vänta länge.,negativ
Ert bemötande var outstanding.,positiv
"Jag undrar om ni möjligen, operatören var otroligt handräckningsam och kunnig.",positiv
Jag gillar ert nya system.,positiv
Mycket smidigare än jag trodde.,positiv
Det här var inte vad jag förväntade mig.,negativ
Jag ska läsa igenom villkoren först.,neutral
Jag kommer inte acceptera detta.,negativ
Jag kontaktade supporten och fick svar direkt.,positiv
Jag avvaktar och ser hur det går.,neutral
Jag ringde kundtjänst och fick vänta länge.,negativ
Jag gillar ert nya system.,positiv
Mycket smidigare än jag trodde.,positiv
Jag kontaktade kundservice och löste problemet.,positiv
Jag kontaktade kundservice och fick svar direkt.,positiv
Jag nådde tekniska supporten och bad om återkoppling.,neutral
Jag kontaktade kundservice och lovades hjälp men inget hände.,negativ
Har ni öppet på lördagar?,neutral
Jag chattade tekniska supporten och fick svar direkt.,positiv
Bra att ni lyssnade på min feedback.,positiv
Jag chattade er avdelning och fick vänta länge.,negativ
Jag ringde kundtjänst och fick inget svar.,negativ
"Jag undrar om ni möjligen, kundtjänsten var mycket tillmötesgående och professionell.",positiv
Kan jag få en specifikation på fakturan?,neutral
Jag nådde kundservice och allt ordnade sig.,positiv
Kommer aldrig mer anlita er igen.,negativ
Jag ska precis skicka in dokumenten ni bad om.,neutral
Mycket smidigare än jag trodde.,positiv
Jag gillar ert nya system.,positiv
Jag gillar ert nya system.,positiv
Jag chattade kundservice och ställde en fråga.,neutral
Det här är helt oacceptabelt.,negativ
Jag gillar ert nya system.,positiv
"Jag skulle vara tusen tacksam om, jag är helnöjd med lösningen ni gav mig.",positiv
Det här var inte vad jag förväntade mig.,negativ
Jag noterar vad ni sagt.,neutral
Jag nådde tekniska supporten och bad om återkoppling.,neutral
Jag är inte nöjd alls.,negativ
"jag skulle vara tacksam om, jag har inte hunnit testa lösningen ännu.",neutral
"Ursäkta, men, jag uppskattar verkligen ert tålamod.",positiv
Jag kommer inte acceptera detta.,negativ
Jag ringde tekniska supporten och ingen kunde hjälpa.,negativ
Jag mailade kundtjänst och fick information.,neutral
Jag är väldigt nöjd med servicen idag.,positiv
Det här var inte vad jag förväntade mig.,negativ
Jag noterar vad ni sagt.,neutral
Jag ska läsa igenom villkoren först.,neutral
Jag knappast är helnöjd med lösningen ni gav mig.,negativ
Jag chattade kundtjänst och skickade dokument.,neutral
Uppskattar att ni ringde tillbaka.,positiv
Jag har förlorat förtroendet för er helt.,negativ
Jag kommer inte acceptera detta.,negativ
Jag nådde er avdelning och blev runtkopplad.,negativ
Jag mailade kundservice och fick hjälp.,positiv
Jag kontaktade kundservice och skickade dokument.,neutral
Jag avvaktar och ser hur det går.,neutral
Jag ringde kundservice och löste problemet.,positiv
Mycket smidigare än jag trodde.,positiv
Tack för att ni följde upp mitt ärende.,positiv
Bra att ni lyssnade på min feedback.,positiv
Fakturan stämmer inte alls och ingen hjälper mig.,negativ
Ni har inte löst någonting.,negativ
Hur länge gäller erbjudandet?,neutral
Jag kontaktade kundtjänst och lovades hjälp men inget hände.,negativ
Jag chattade kundservice och fick information.,neutral
Jag rekommenderar er varmt till alla jag känner.,positiv
Jag mailade kundservice och fick hjälp.,positiv
Jag gillar ert nya system.,positiv
Jag ringde supporten och blev runtkopplad.,negativ
Mycket smidigare än jag trodde.,positiv
Jag ringde kundservice och skickade dokument.,neutral
Jag har precis bytt abonnemang och har en fråga.,neutral
Jag nådde supporten och fick vänta länge.,negativ
Jag kontaktade kundtjänst och ställde en fråga.,neutral
Ni har inte löst någonting.,negativ
Jag kontaktade kundtjänst och löste problemet.,positiv
Jag chattade kundservice och blev runtkopplad.,negativ
Bra att ni lyssnade på min feedback.,positiv
Jag kontaktade er avdelning och löste problemet.,positiv
Jag mailade kundservice och fick svar direkt.,positiv
Jag mailade kundtjänst och allt ordnade sig.,positiv
Jag ringde kundservice och löste problemet.,positiv
Jag nådde tekniska supporten och bad om återkoppling.,neutral
"Jag undrar om ni möjligen, ert bemötande var outstanding.",positiv
Jag ska läsa igenom villkoren först.,neutral
Jag chattade kundservice och fick vänta länge.,negativ
Jag kontaktade kundtjänst och lovades hjälp men inget hände.,negativ
Mycket smidigare än jag trodde.,positiv
Jag nådde kundservice och lovades hjälp men inget hände.,negativ
Jag nådde er avdelning och fick information.,neutral
Mycket smidigare än jag trodde.,positiv
Tack för att ni följde upp mitt ärende.,positiv
Jag är mycket missnöjd på hur ni hanterat mitt ärende.,negativ
Jag mailade kundservice och fick svar direkt.,positiv
Jag är inte nöjd alls.,negativ
Jag chattade er avdelning och fick hjälp.,positiv
Jag noterar vad ni sagt.,neutral
"jag skulle vara tacksam om, jag fick ett meddelande om att ni försökt nå mig.",neutral
Jag är inte nöjd alls.,negativ
Jag kontaktade supporten och bad om återkoppling.,neutral
Jag kommer inte acceptera detta.,negativ
Jag chattade supporten och fick vänta länge.,negativ
Jag chattade er avdelning och ställde en fråga.,neutral
Jag ringde tekniska supporten och blev hjälpt.,positiv
Tack för informationen.,neutral
Tack för informationen.,neutral
Jag chattade tekniska supporten och blev hjälpt.,positiv
Uppskattar att ni ringde tillbaka.,positiv
Ingenting har förändrats sedan jag ringde förra veckan.,negativ
Jag mailade tekniska supporten och fick inget svar.,negativ
Jag avvaktar och ser hur det går.,neutral
Jag är absolut inte helnöjd med lösningen ni gav mig.,negativ
Jag nådde kundtjänst och fick vänta länge.,negativ
Jag avvaktar och ser hur det går.,neutral
Jag har blivit feldebiterad tre månader i rad. Det är under all kritik.,negativ
Jag kontaktade kundservice och bad om återkoppling.,neutral
"ursäkta att jag stör, vilka betalningsalternativ erbjuder ni?",neutral
Hur länge gäller erbjudandet?,neutral
Jag avvaktar och ser hur det går.,neutral
Bra att ni lyssnade på min feedback.,positiv
Tack för att ni följde upp mitt ärende.,positiv
Ni har verkligen förbättrat er sedan sist.,positiv
Bra att ni lyssnade på min feedback.,positiv
Tack för att ni följde upp mitt ärende.,positiv
Jag kontaktade supporten och ställde en fråga.,neutral
"ursäkta, men, kan ni skicka en bekräftelse på mail?",neutral
Jag är inte nöjd alls.,negativ
Uppskattar att ni ringde tillbaka.,positiv
Jag chattade er avdelning och bad om återkoppling.,neutral
Tack för att ni följde upp mitt ärende.,positiv
Jag noterar vad ni sagt.,neutral
Jag ringde supporten och ingen kunde hjälpa.,negativ
Bra att ni lyssnade på min feedback.,positiv
Fakturan stämmer inte alls och ingen hjälper mig.,negativ
Operatören var otroligt hjälpsam och kunnig.,positiv
"Allting fungerar klockrent nu, tack!",positiv
Det känns som att ni verkligen bryr er.,positiv
Jag kommer inte acceptera detta.,negativ
Jag gillar ert nya system.,positiv
Jag chattade kundtjänst och bad om återkoppling.,neutral
Jag chattade kundtjänst och ställde en fråga.,neutral
Jag chattade er avdelning och ställde en fråga.,neutral
"Ursäkta, men, ert bemötande var outstanding.",positiv
Ni har verkligen förbättrat er sedan sist.,positiv
Jag kontaktade supporten och blev hjälpt.,positiv
Jag chattade kundservice och lovades hjälp men inget hände.,negativ
Jag har förlorat förtroendet för er helt.,negativ
Jag chattade er avdelning och lovades hjälp men inget hände.,negativ
"Hemskt bemötande, kände mig helt ignorerad. Det är under all kritik.",negativ
Jag ringde kundtjänst och skickade dokument.,neutral
Jag nådde er avdelning och blev hjälpt.,positiv
Jag chattade kundservice och fick svar direkt.,positiv
Bästa supporten jag varit med om på länge.,positiv
Jag nådde supporten och skickade dokument.,neutral
Jag mailade supporten och fick hjälp.,positiv
Jag är inte nöjd alls.,negativ
Ni har verkligen förbättrat er sedan sist.,positiv
Jag nådde tekniska supporten och allt ordnade sig.,positiv
Jag kontaktade kundtjänst och fick svar direkt.,positiv
Tack för informationen.,neutral
Jag nådde kundtjänst och blev runtkopplad.,negativ
Jag mailade kundservice och ställde en fråga.,neutral
Jag mailade kundservice och lovades hjälp men inget hände.,negativ
Jag ringde tekniska supporten och ställde en fråga.,neutral
Jag nådde er avdelning och blev hjälpt.,positiv
Har ni öppet på lördagar?,neutral
Jag mailade er avdelning och fick svar direkt.,positiv
Jag ringde supporten och fick svar direkt.,positiv
Ni har verkligen förbättrat er sedan sist.,positiv
Jag kommer inte acceptera detta.,negativ
Ni har verkligen förbättrat er sedan sist.,positiv
Jag ska läsa igenom villkoren först.,neutral
Jag chattade kundservice och fick information.,neutral
Jag nådde supporten och allt ordnade sig.,positiv
Jag ska läsa igenom villkoren först.,neutral
Tack för att ni följde upp mitt ärende.,positiv
Jag kontaktade tekniska supporten och ställde en fråga.,neutral
Ni gjorde en komplicerad process enkel.,positiv
Mycket smidigare än jag trodde.,positiv
Kundtjänsten knappast var mycket trevlig och professionell.,negativ
Jag ska läsa igenom villkoren först.,neutral
"ursäkta att jag stör, har ni öppet på lördagar?",neutral
Tack för att ni följde upp mitt ärende.,positiv
Återkommer om det behövs.,neutral
Det här är rena katastrofen.,negativ
"ursäkta att jag stör, kan ni skicka en bekräftelse på mail?",neutral
Jag ringde er avdelning och fick vänta länge.,negativ
Tack för informationen.,neutral
Mycket smidigare än jag trodde.,positiv
Jag ringde er avdelning och ingen kunde hjälpa.,negativ
Återkommer om det behövs.,neutral
Det här är helt oacceptabelt.,negativ
Jag nådde kundservice och fick inget svar.,negativ
Ingen har hört av sig trots att ni lovade.,negativ
Jag mailade er avdelning och skickade dokument.,neutral
Jag kontaktade kundtjänst och blev runtkopplad.,negativ
Jag avvaktar och ser hur det går.,neutral
Jag kontaktade kundtjänst och fick vänta länge.,negativ
Mycket smidigare än jag trodde.,positiv
Jag noterar vad ni sagt.,neutral
Återkommer om det behövs.,neutral
Ni har inte löst någonting.,negativ
Jag mailade supporten och löste problemet.,positiv
Jag har precis bytt abonnemang och har en fråga.,neutral
Jag nådde kundservice och blev hjälpt.,positiv
Jag nådde er avdelning och löste problemet.,positiv
Ni har verkligen förbättrat er sedan sist.,positiv
Uppskattar att ni ringde tillbaka.,positiv
Jag kontaktade supporten och lovades hjälp men inget hände.,negativ
Mycket smidigare än jag trodde.,positiv
Tack för informationen.,neutral
Jag är väldigt nöjd med servicen idag.,positiv
Jag nådde er avdelning och fick vänta länge.,negativ
Jag chattade supporten och fick inget svar.,negativ
Personalen var otrevlig och ointresserad.,negativ
Jag ej känner mig trygg som kund hos er.,negativ
Jag nådde kundtjänst och fick hjälp.,positiv
Mycket smidigare än jag trodde.,positiv
Återkommer om det behövs.,neutral
Jag ska läsa igenom villkoren först.,neutral
Jag gillar ert nya system.,positiv
Ni lovade återkoppling inom 24 timmar – det har gått en vecka.,negativ
Jag kontaktade er avdelning och löste problemet.,positiv
Jag nådde tekniska supporten och fick vänta länge.,negativ
Jag kontaktade supporten och blev runtkopplad.,negativ
Mycket smidigare än jag trodde.,positiv
Jag chattade tekniska supporten och ingen kunde hjälpa.,negativ
Jag mailade supporten och fick hjälp.,positiv
Jag kontaktade er avdelning och lovades hjälp men inget hände.,negativ
Jag avvaktar och ser hur det går.,neutral
Detta är tredje gången jag ringer om samma sak.,negativ
Tack vare er support fungerar allt perfekt nu.,positiv
Det här var inte vad jag förväntade mig.,negativ
Ni har inte löst någonting.,negativ
Jag chattade tekniska supporten och bad om återkoppling.,neutral
Jag kontaktade supporten och ingen kunde hjälpa.,negativ
Det här var inte vad jag förväntade mig.,negativ
Kan ni skicka en bekräftelse på mail?,neutral
Jag chattade kundtjänst och fick information.,neutral
Jag mailade kundservice och blev hjälpt.,positiv
Jag nådde tekniska supporten och fick vänta länge.,negativ
"Jag ej fick hjälp inom några minuter, imponerad!",negativ
Jag mailade er avdelning och allt ordnade sig.,positiv
Jag är inte nöjd alls.,negativ
Jag kontaktade tekniska supporten och ställde en fråga.,neutral
Tack för att ni följde upp mitt ärende.,positiv
Tack för informationen.,neutral
Jag kontaktade supporten och fick vänta länge.,negativ
Jag uppskattar verkligen ert tålamod.,positiv
Ni har verkligen förbättrat er sedan sist.,positiv
Jag är arg och frustrerad över situationen.,negativ
Jag nådde er avdelning och blev runtkopplad.,negativ
Uppskattar att ni ringde tillbaka.,positiv
Tack för att ni följde upp mitt ärende.,positiv
Jag mailade kundtjänst och fick information.,neutral
Ni har verkligen förbättrat er sedan sist.,positiv
"Jag hoppas ni kan hjälpa mig, jag är väldigt nöjd med servicen idag.",positiv
Jag mailade er avdelning och löste problemet.,positiv
Personalen var otrevlig och ointresserad.,negativ
Jag mailade kundservice och löste problemet.,positiv
Ingenting har förändrats sedan jag ringde förra veckan.,negativ
Det ej var enkelt att komma fram och få hjälp.,negativ
Jag ska läsa igenom villkoren först.,neutral
Jag chattade kundtjänst och fick information.,neutral
Jag nådde supporten och blev hjälpt.,positiv
Jag ringde tekniska supporten och ingen kunde hjälpa.,negativ
Jag gillar ert nya system.,positiv
Jag nådde kundservice och fick vänta länge.,negativ
Jag noterar vad ni sagt.,neutral
Tack för snabb återkoppling på mitt mail.,positiv
Ingenting har förändrats sedan jag ringde förra veckan.,negativ
Jag kontaktade kundservice och fick svar direkt.,positiv
"Jag fick service inom några minuter, imponerad!",positiv
Jag avvaktar och ser hur det går.,neutral
Jag kontaktade kundservice och lovades hjälp men inget hände.,negativ
Jag ringde kundtjänst och fick information.,neutral
Jag kontaktade kundtjänst och fick inget svar.,negativ
Jag mailade tekniska supporten och löste problemet.,positiv
Tack för att ni följde upp mitt ärende.,positiv
"Ni löste mitt problem direkt, fantastiskt!",positiv
Kan ni uppdatera mina kontaktuppgifter?,neutral
Tack för att ni följde upp mitt ärende.,positiv
Ni har verkligen förbättrat er sedan sist.,positiv
Jag chattade kundservice och löste problemet.,positiv
Ni har verkligen överträffat mina förväntningar.,positiv
Det här var inte vad jag förväntade mig.,negativ
Tusen tack för snabb återkoppling på mitt mail.,positiv
Mycket smidigare än jag trodde.,positiv
Jag mailade supporten och lovades hjälp men inget hände.,negativ
Jag mailade kundservice och fick hjälp.,positiv
Jag kontaktade kundtjänst och ingen kunde hjälpa.,negativ
Jag nådde er avdelning och blev runtkopplad.,negativ
Jag mailade kundtjänst och lovades hjälp men inget hände.,negativ
Återkommer om det behövs.,neutral
Jag kommer inte acceptera detta.,negativ
Jag gillar ert nya system.,positiv
Jag mailade tekniska supporten och fick hjälp.,positiv
Jag mailade er avdelning och ingen kunde hjälpa.,negativ
Jag nådde kundtjänst och fick vänta länge.,negativ
Smidigt och professionellt hanterat!,positiv
Ni har verkligen förbättrat er sedan sist.,positiv
Jag vill bara kontrollera status på mitt ärende.,neutral
Jag har förlorat förtroendet för er helt.,negativ
Jag chattade kundservice och fick vänta länge.,negativ
Jag rekommenderar er varmt till alla jag känner.,positiv
Jag chattade er avdelning och fick information.,neutral
Tack för informationen.,neutral
Bra att ni lyssnade på min feedback.,positiv
Jag gillar ert nya system.,positiv
Jag kontaktade kundtjänst och löste problemet.,positiv
Jag nådde kundtjänst och fick information.,neutral
Supporten förstod direkt vad jag menade.,positiv
"ursäkta att jag stör, jag vill bara dubbelkolla en sak.",neutral
Jag mailade tekniska supporten och bad om återkoppling.,neutral
Mycket smidigare än jag trodde.,positiv
Jag chattade tekniska supporten och fick information.,neutral
Jag kontaktade supporten och skickade dokument.,neutral
Jag nådde kundservice och fick inget svar.,negativ
Jag fick ett meddelande om att ni försökt nå mig.,neutral
Ni har verkligen förbättrat er sedan sist.,positiv
Jag chattade supporten och skickade dokument.,neutral
Det här är rena katastrofen.,negativ
Jag chattade kundservice och löste problemet.,positiv
Ni har inte löst någonting.,negativ
Ingenting har förändrats sedan jag ringde förra veckan.,negativ
Tack för att ni följde upp mitt ärende.,positiv
Jag mailade kundservice och fick information.,neutral
Tack för att ni följde upp mitt ärende.,positiv
Jag har inte hunnit testa lösningen ännu.,neutral
Det känns som knappast att ni verkligen bryr er.,negativ
Jag chattade supporten och ställde en fråga.,neutral
Jag chattade kundservice och fick svar direkt.,positiv
Jag ringde tekniska supporten och lovades hjälp men inget hände.,negativ
Bra att ni lyssnade på min feedback.,positiv
Jag mailade kundtjänst och fick hjälp.,positiv
Jag mailade kundservice och ställde en fråga.,neutral
Jag chattade kundtjänst och allt ordnade sig.,positiv
Jag nådde kundservice och fick hjälp.,positiv
Uppskattar att ni ringde tillbaka.,positiv
Jag nådde kundservice och skickade dokument.,neutral
Jag ska läsa igenom villkoren först.,neutral
Jag nådde kundservice och fick inget svar.,negativ
Jag ringde supporten och fick hjälp.,positiv
Ni har inte löst någonting.,negativ
"Jag hoppas ni kan handräckninga mig, jag är helnöjd med lösningen ni gav mig.",positiv
Jag chattade er avdelning och skickade dokument.,neutral
Återkommer om det behövs.,neutral
Ert bemötande var outstanding.,positiv
Jag mailade supporten och löste problemet.,positiv
Jag kontaktade supporten och ställde en fråga.,neutral
Har ni öppet på lördagar?,neutral
Jag ringde er avdelning och fick svar direkt.,positiv
Jag nådde er avdelning och fick information.,neutral
Jag chattade supporten och ingen kunde hjälpa.,negativ
Vilken skillnad efter att ni vägledningte mig!,positiv
Jag mailade er avdelning och löste problemet.,positiv
"ursäkta att jag stör, jag har precis registrerat mig och loggar in för första gången.",neutral
Jag nådde kundtjänst och blev runtkopplad.,negativ
Jag kontaktade er avdelning och skickade dokument.,neutral
Er support är helt värdelös.,negativ
Jag kommer inte acceptera detta.,negativ
Tack för snabb hjälp med mitt ärende!,positiv
